Gurtnellen_Gotthard,,,,,,
Datum,Fahrzeuge_pro 3Min,Durchschnittsgeschwindigkeit,Fahrzeuge pro 3Min Vergleichstage Fr 25.7.2014 - Sa 26.7.2014,Durchschnittsgeschwindigkeit Vergleichstage Fr 25.7.2014 - Sa 26.7.2014,Fahrzeuge pro 3Min Vergleichstage Fr 1.8.2014 - Sa 2.8.2014,Durchschnittsgeschwindigkeit Vergleichstage Fr 1.8.2014 - Sa 2.8.2014</title>
2014-07-18 00:00-00:03,24,123,20,102,23,104
2014-07-18 00:03-00:06,19,101,20,104,41,101
2014-07-18 00:06-00:09,27,112,20,90,29,100
2014-07-18 00:09-00:12,23,105,19,118,41,98
2014-07-18 00:12-00:15,28,106,18,96,39,104
2014-07-18 00:15-00:18,22,101,20,105,34,103
2014-07-18 00:18-00:21,18,100,17,107,29,100
2014-07-18 00:21-00:24,20,90,17,92,34,100
2014-07-18 00:24-00:27,24,95,20,97,20,102
2014-07-18 00:27-00:30,29,99,25,101,37,93
2014-07-18 00:30-00:33,16,102,16,112,28,89
2014-07-18 00:33-00:36,28,102,25,101,33,100
2014-07-18 00:36-00:39,29,93,14,98,35,98
2014-07-18 00:39-00:42,17,99,14,99,30,106
2014-07-18 00:42-00:45,26,99,11,99,30,96
2014-07-18 00:45-00:48,24,98,16,98,34,98
2014-07-18 00:48-00:51,17,101,26,101,26,95
2014-07-18 00:51-00:54,19,105,15,97,34,95
2014-07-18 00:54-00:57,19,95,8,90,28,100
2014-07-18 00:57-01:00,20,110,21,99,23,102
2014-07-18 01:00-01:03,33,98,14,90,20,91
2014-07-18 01:03-01:06,16,94,18,100,23,95
2014-07-18 01:06-01:09,20,100,14,102,14,94
2014-07-18 01:09-01:12,15,93,12,101,20,95
2014-07-18 01:12-01:15,22,96,19,102,29,103
2014-07-18 01:15-01:18,14,91,19,98,26,91
2014-07-18 01:18-01:21,30,98,16,97,33,103
2014-07-18 01:21-01:24,32,88,14,98,25,95
2014-07-18 01:24-01:27,16,97,21,95,30,97
2014-07-18 01:27-01:30,21,94,14,90,23,100
2014-07-18 01:30-01:33,16,97,19,100,26,101
2014-07-18 01:33-01:36,20,96,16,91,27,100
2014-07-18 01:36-01:39,19,98,16,95,27,93
2014-07-18 01:39-01:42,30,109,9,97,32,97
2014-07-18 01:42-01:45,31,95,21,102,28,100
2014-07-18 01:45-01:48,14,101,11,105,20,100
2014-07-18 01:48-01:51,19,105,20,112,21,100
2014-07-18 01:51-01:54,20,91,16,90,23,95
2014-07-18 01:54-01:57,12,92,11,96,19,96
2014-07-18 01:57-02:00,13,106,17,99,25,106
2014-07-18 02:00-02:03,18,101,15,97,22,105
