Erstfeld_S_Goeschenen,,,,,,
Datum,Fahrzeuge pro 3Min,Durchschnittsgeschwindigkeit,Fahrzeuge pro 3Min Vergleichstage Fr 25.7.2014 - Sa 26.7.2014,Durchschnittsgeschwindigkeit Vergleichstage Fr 25.7.2014 - Sa 26.7.2014,Fahrzeuge pro 3Min Vergleichstage Fr 1.8.2014 - Sa 2.8.2014,Durchschnittsgeschwindigkeit Vergleichstage Fr 1.8.2014 - Sa 2.8.2014</title>
2014-07-18 00:00-00:03,30,114,22,110,33,110
2014-07-18 00:03-00:06,22,116,15,98,37,107
2014-07-18 00:06-00:09,22,115,25,116,42,115
2014-07-18 00:09-00:12,25,117,13,121,34,109
2014-07-18 00:12-00:15,19,113,19,114,32,111
2014-07-18 00:15-00:18,20,107,22,113,32,115
2014-07-18 00:18-00:21,27,112,20,118,24,112
2014-07-18 00:21-00:24,28,117,18,117,32,113
2014-07-18 00:24-00:27,17,113,23,112,33,110
2014-07-18 00:27-00:30,25,113,20,116,29,118
2014-07-18 00:30-00:33,30,109,16,109,37,113
2014-07-18 00:33-00:36,14,110,9,105,34,106
2014-07-18 00:36-00:39,26,111,15,113,28,111
2014-07-18 00:39-00:42,27,119,18,106,34,111
2014-07-18 00:42-00:45,14,118,27,116,28,111
2014-07-18 00:45-00:48,20,114,14,111,34,107
2014-07-18 00:48-00:51,21,111,7,101,29,112
2014-07-18 00:51-00:54,22,115,15,113,19,111
2014-07-18 00:54-00:57,31,108,16,108,23,108
2014-07-18 00:57-01:00,17,113,19,112,21,112
2014-07-18 01:00-01:03,20,116,13,107,17,110
2014-07-18 01:03-01:06,17,110,14,112,19,115
2014-07-18 01:06-01:09,21,108,12,104,30,111
2014-07-18 01:09-01:12,19,107,21,109,28,112
2014-07-18 01:12-01:15,31,110,20,111,30,109
2014-07-18 01:15-01:18,29,107,17,116,29,115
2014-07-18 01:18-01:21,15,104,22,108,33,110
2014-07-18 01:21-01:24,21,105,11,107,21,116
2014-07-18 01:24-01:27,13,109,19,113,26,113
2014-07-18 01:27-01:30,19,110,20,107,30,109
2014-07-18 01:30-01:33,18,109,12,106,29,114
2014-07-18 01:33-01:36,27,113,11,107,30,114
2014-07-18 01:36-01:39,31,108,16,115,28,118
2014-07-18 01:39-01:42,13,113,13,111,20,115
2014-07-18 01:42-01:45,19,105,19,110,25,108
2014-07-18 01:45-01:48,22,110,20,115,17,121
2014-07-18 01:48-01:51,15,98,11,106,20,115
2014-07-18 01:51-01:54,14,101,16,110,24,107
2014-07-18 01:54-01:57,15,113,16,121,26,114
2014-07-18 01:57-02:00,16,103,8,103,20,109
2014-07-18 02:00-02:03,12,107,23,116,25,110
2014-07-18 02:03-02:06,17,113,23,108,24,113
2014-07-18 02:06-02:09,16,109,18,114,21,109
2014-07-18 02:09-02:12,22,114,14,113,24,109
2014-07-18 02:12-02:15,13,115,7,109,25,108
2014-07-18 02:15-02:18,11,109,16,111,1,104
2014-07-18 02:18-02:21,7,112,17,114,12,122
2014-07-18 02:21-02:24,3,111,11,105,43,111
2014-07-18 02:24-02:27,,,23,112,20,108
2014-07-18 02:27-02:30,10,98,15,109,25,116
2014-07-18 02:30-02:33,16,110,19,112,22,117
2014-07-18 02:33-02:36,15,112,12,115,16,108
2014-07-18 02:36-02:39,20,112,14,105,21,109
